Frame,Delta X,Delta Y,Angle (degrees)
1,168,140,50.19442890773481
2,126,177,35.445710327598235
3,93,199,25.048409305236767
4,5,221,1.2960634980171208
5,-35,212,-9.374647020891295
6,-80,202,-21.60552724263848
7,-140,173,-38.98146539141869
8,-169,144,-49.56664560539863
9,-173,138,-51.42106082349074
10,-171,138,-51.09586154459581
11,-149,160,-42.96120536073284
12,-132,169,-37.99215277102313
13,-71,204,-19.18990075942722
14,-38,211,-10.209234076060742
15,45,214,11.875163979700107
16,83,204,22.13957626499913
17,135,174,37.806529944704465
18,147,159,42.75425743410493
19,160,148,47.23117460803125
20,159,150,46.66833744829331
21,141,170,39.67271155181333
22,117,183,32.59258147259926
23,61,214,15.910028140283494
24,24,222,6.170175095029609
25,-20,218,-5.2418199469795566
26,-85,203,-22.719997281457676
27,-126,181,-34.84303448063771
28,-139,173,-38.78077031120884
29,-146,161,-42.20275647716592
30,-142,163,-41.061260916148804
31,-131,178,-36.35139795855335
32,-95,195,-25.974393962431318
33,-68,210,-17.942447089158676
34,-4,212,-1.0809241866606887
35,28,221,7.220721904956838
36,87,202,23.301209710510175
37,110,190,30.068582821862453
38,132,172,37.504142360270144
39,138,171,38.90413845540419
40,131,177,36.505624210191016
41,121,186,33.045517197506925
42,85,204,22.619864948040426
43,55,209,14.743562836470735
44,-9,217,-2.37496151576137
45,-38,222,-9.713251024940284
46,-85,201,-22.92280068446368
47,-101,200,-26.793775628803157
48,-120,187,-32.68874511990872
49,-122,183,-33.690067525979785
50,-108,192,-29.357753542791276
51,-93,202,-24.721155867929195
52,-56,216,-14.534455080540122
53,-22,213,-5.896963510210823
54,24,217,6.311210575132623
55,54,215,14.098930291396254
56,93,198,25.159301916031655
57,102,194,27.73419050498541
58,111,185,30.96375653207352
59,109,189,29.97289058597137
60,91,199,24.57397523691099
61,76,209,19.98310652189998
62,57,213,14.981632572390918
63,12,218,3.150716413267741
64,-17,217,-4.479460452350279
65,-59,217,-15.210426216402103
66,-72,208,-19.093492000485615
67,-90,204,-23.805943518457717
68,-95,201,-25.29714233858729
69,-86,208,-22.46321248940715
70,-76,215,-19.467909201804407
71,-49,208,-13.255872481677512
72,-26,214,-6.927218126009166
73,12,223,3.0802101366458268
74,35,212,9.374647020891295
75,66,213,17.216073587790714
76,77,207,20.40422845905544
77,83,201,22.437459474566264
78,81,205,21.560063906565105
79,67,207,17.935288994058315
80,58,216,15.030430523433274
81,29,221,7.475737385548222
82,0,224,0.0
83,-27,212,-7.258030107651239
84,-40,211,-10.734377793491475
85,-61,209,-16.270731215544814
86,-70,217,-17.87869659584134
87,-68,214,-17.628019367819636
88,-65,218,-16.602746170265167
89,-46,221,-11.75793552058417
90,-31,213,-8.280682242721747
91,-23,214,-6.134409943923921
92,4,218,1.051180749543747
93,27,223,6.903553919725023
94,42,219,10.856413348062246
95,51,214,13.404562562903815
96,58,213,15.232355184385371
97,54,214,14.162168055312756
98,42,218,10.905022045234448
99,40,217,10.444195475355848
100,16,221,4.140886003519859
